<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.12.08	15:29:00	1.16522	1.16523	1.16501	1.16502	52	0	0
2025.12.08	15:30:00	1.16502	1.16519	1.16495	1.16498	59	0	0
2025.12.08	15:31:00	1.16499	1.16509	1.16496	1.16501	42	0	0
2025.12.08	15:32:00	1.16502	1.16508	1.16488	1.16493	58	0	0
2025.12.08	15:33:00	1.16494	1.16498	1.16483	1.16486	73	0	0
2025.12.08	15:34:00	1.16486	1.16488	1.16473	1.16479	55	0	0
2025.12.08	15:35:00	1.16479	1.16481	1.16465	1.16469	67	0	0
2025.12.08	15:36:00	1.16470	1.16479	1.16466	1.16477	75	0	0
2025.12.08	15:37:00	1.16478	1.16482	1.16470	1.16479	41	0	0
2025.12.08	15:38:00	1.16479	1.16486	1.16474	1.16481	31	0	0
2025.12.08	15:39:00	1.16479	1.16481	1.16464	1.16478	47	0	0
2025.12.08	15:40:00	1.16480	1.16482	1.16468	1.16480	50	0	0
2025.12.08	15:41:00	1.16479	1.16479	1.16458	1.16464	60	0	0
2025.12.08	15:42:00	1.16465	1.16469	1.16459	1.16461	40	0	1
2025.12.08	15:43:00	1.16461	1.16477	1.16455	1.16477	55	0	0
2025.12.08	15:44:00	1.16472	1.16489	1.16471	1.16484	65	0	0
2025.12.08	15:45:00	1.16483	1.16498	1.16480	1.16497	62	0	0
2025.12.08	15:46:00	1.16492	1.16502	1.16491	1.16497	59	0	0
2025.12.08	15:47:00	1.16503	1.16505	1.16490	1.16497	53	0	0
2025.12.08	15:48:00	1.16492	1.16498	1.16483	1.16485	51	0	0
2025.12.08	15:49:00	1.16486	1.16491	1.16480	1.16481	48	0	0
2025.12.08	15:50:00	1.16482	1.16486	1.16469	1.16473	50	0	0
2025.12.08	15:51:00	1.16475	1.16480	1.16468	1.16474	54	0	0
2025.12.08	15:52:00	1.16479	1.16481	1.16466	1.16471	47	0	0
2025.12.08	15:53:00	1.16472	1.16472	1.16459	1.16463	40	0	0
2025.12.08	15:54:00	1.16464	1.16478	1.16462	1.16469	60	0	0
2025.12.08	15:55:00	1.16468	1.16486	1.16467	1.16474	58	0	0
2025.12.08	15:56:00	1.16479	1.16480	1.16461	1.16469	54	0	0
2025.12.08	15:57:00	1.16469	1.16477	1.16464	1.16477	52	0	0
2025.12.08	15:58:00	1.16477	1.16479	1.16473	1.16477	54	0	0
2025.12.08	15:59:00	1.16476	1.16486	1.16466	1.16481	52	0	0
2025.12.08	16:00:00	1.16480	1.16493	1.16474	1.16481	85	0	0
2025.12.08	16:01:00	1.16481	1.16494	1.16480	1.16493	60	0	0
2025.12.08	16:02:00	1.16494	1.16496	1.16487	1.16494	41	0	0
2025.12.08	16:03:00	1.16495	1.16500	1.16492	1.16494	51	0	0
2025.12.08	16:04:00	1.16495	1.16506	1.16492	1.16500	64	0	0
2025.12.08	16:05:00	1.16499	1.16517	1.16497	1.16510	47	0	0
2025.12.08	16:06:00	1.16511	1.16524	1.16509	1.16522	48	0	0
2025.12.08	16:07:00	1.16520	1.16537	1.16520	1.16533	53	0	0
2025.12.08	16:08:00	1.16535	1.16543	1.16529	1.16535	62	0	0
2025.12.08	16:09:00	1.16535	1.16535	1.16509	1.16514	60	0	0
2025.12.08	16:10:00	1.16510	1.16520	1.16507	1.16519	73	0	0
2025.12.08	16:11:00	1.16520	1.16530	1.16516	1.16525	52	0	0
2025.12.08	16:12:00	1.16524	1.16528	1.16513	1.16513	47	0	0
2025.12.08	16:13:00	1.16518	1.16532	1.16512	1.16525	32	0	0
2025.12.08	16:14:00	1.16527	1.16532	1.16524	1.16529	36	0	0
2025.12.08	16:15:00	1.16528	1.16545	1.16527	1.16544	71	0	0
2025.12.08	16:16:00	1.16538	1.16549	1.16528	1.16528	54	0	0
2025.12.08	16:17:00	1.16528	1.16530	1.16518	1.16519	33	0	0
2025.12.08	16:18:00	1.16518	1.16521	1.16512	1.16515	44	0	0
2025.12.08	16:19:00	1.16514	1.16520	1.16504	1.16514	45	0	0
2025.12.08	16:20:00	1.16516	1.16523	1.16509	1.16509	54	0	0
2025.12.08	16:21:00	1.16510	1.16528	1.16506	1.16528	38	0	0
2025.12.08	16:22:00	1.16523	1.16535	1.16515	1.16519	51	0	0
2025.12.08	16:23:00	1.16519	1.16528	1.16506	1.16513	46	0	0
2025.12.08	16:24:00	1.16515	1.16523	1.16506	1.16507	53	0	0
2025.12.08	16:25:00	1.16511	1.16523	1.16505	1.16520	58	0	0
2025.12.08	16:26:00	1.16521	1.16527	1.16513	1.16514	57	0	0
2025.12.08	16:27:00	1.16514	1.16528	1.16511	1.16521	54	0	0
2025.12.08	16:28:00	1.16517	1.16528	1.16516	1.16517	54	0	0
2025.12.08	16:29:00	1.16522	1.16524	1.16513	1.16519	56	0	0
2025.12.08	16:30:00	1.16514	1.16519	1.16502	1.16506	37	0	0
2025.12.08	16:31:00	1.16510	1.16518	1.16500	1.16514	46	0	0
